Date In Stock,Make,Model,Status,Engine Size,Mileage,Cost,Retail,VAT,Colour,Make_new,Model_new
2024-02-08,hyundai,tucson,In Stock,1598.0,15967.0,20000.0,,0.0,Black,hyundai,tucson
2024-02-08,kia,sportage,In Stock,1598.0,25341.0,19000.0,22999.0,0.0,Red,kia,sportage
2024-02-08,seat,tarraco,In Stock,1498.0,34667.0,14875.0,,0.0,Green,seat,Others
2024-02-08,mini,hatch,In Stock,0.0,6400.0,13500.0,,0.0,Green,mini,Others
2024-02-08,ford,Ford Focus Variants,In Stock,999.0,10500.0,14200.0,,0.0,Blue,ford,Ford Focus Variants
2024-02-08,bmw,x1,In Stock,1998.0,13619.0,19575.0,,0.0,Grey,bmw,x1
2024-02-08,bmw,3 series,In Stock,1995.0,22897.0,19666.67,,0.0,Black,bmw,3 series
2024-02-08,ford,Ford Kuga Variants,In Stock,1498.0,18506.0,18350.0,19999.0,0.0,Magnetic Grey,ford,Ford Kuga Variants
2024-02-08,land rover,range rover evoque,In Stock,1998.0,15323.0,19833.33,,0.0,White,land rover,range rover evoque
2024-02-08,audi,a3,In Stock,1498.0,23929.0,16257.5,,0.0,Grey,audi,a3
2024-02-08,audi,a3,In Stock,999.0,30151.0,13001.67,,0.0,White,audi,a3
2024-02-08,bmw,1 series,In Stock,1995.0,43160.0,14458.33,,0.0,White,bmw,1 series
2024-02-08,jaguar,i-pace,In Stock,0.0,12342.0,21250.0,,0.0,Blue,jaguar,Others
2024-02-08,ford,Ford Fiesta Variants,In Stock,999.0,36000.0,9750.0,,0.0,Grey,ford,Ford Fiesta Variants
2024-02-08,ford,Ford Fiesta Variants,In Stock,1499.0,39600.0,10000.0,,0.0,Yellow,ford,Ford Fiesta Variants
2024-02-08,ford,Ford Fiesta Variants,In Stock,1499.0,3496.0,19500.0,21899.0,0.0,Magnetic,ford,Ford Fiesta Variants
2024-02-08,ford,Ford Fiesta Variants,In Stock,1499.0,7568.0,18500.0,21399.0,0.0,Magnetic,ford,Ford Fiesta Variants
2024-02-08,ford,Ford Fiesta Variants,In Stock,998.0,36339.0,9300.0,10924.0,0.0,Red,ford,Ford Fiesta Variants
2024-02-08,ford,Ford Kuga Variants,In Stock,1499.0,21445.0,13500.0,,0.0,Black,ford,Ford Kuga Variants
2024-02-08,seat,ibiza,In Stock,1197.0,41537.0,5800.0,8249.0,0.0,Moonstone silver,seat,ibiza
2024-01-31,bmw,2 series,In Stock,1995.0,47722.0,11450.0,14799.0,0.0,Metallic - Estoril blue,bmw,2 series
2024-02-08,volkswagen,up,In Stock,999.0,85000.0,2200.0,,,Metallic - Reflex silver,volkswagen,Others
2024-02-08,nissan,juke,In Stock,1461.0,52364.0,5000.0,7924.0,0.0,Metallic - Magnetic red,nissan,juke
2024-02-08,jaguar,e-pace,In Stock,1997.0,14477.0,26615.0,29250.0,0.0,Metallic - Santorini black,jaguar,Others
2024-02-08,audi,a1,In Stock,999.0,16325.0,15650.0,17795.0,0.0,Solid - Shell white,audi,a1
2024-02-08,vauxhall,agila,In Stock,1242.0,84000.0,727.0,,0.0,Pearl - Cosmic black,vauxhall,Others
2024-02-08,ford,mondeo,In Stock,1997.0,104000.0,4000.0,,0.0,Metallic - Deep impact blue,ford,mondeo
2024-02-08,ford,Ford Kuga Variants,In Stock,1496.0,27000.0,17007.72,,,Exclusive paint - Magnetic,ford,Ford Kuga Variants
2024-02-08,ford,Ford Focus Variants,In Stock,1596.0,73000.0,700.0,,0.0,Blue,ford,Ford Focus Variants
2024-02-08,nissan,Nissan Qashqai Variants,In Stock,1461.0,116658.0,3000.0,,,Metallic - Pearl black,nissan,Nissan Qashqai Variants
2024-02-08,ford,s-max,In Stock,1995.0,65749.0,15166.67,,0.0,White,ford,s-max
2024-02-08,ford,tourneo connect,In Stock,1499.0,34164.0,14675.0,,0.0,Blue,ford,tourneo connect
2024-02-08,kia,xceed,In Stock,1482.0,35827.0,10416.67,,0.0,Red,kia,Others
2024-02-08,bmw,2 series,In Stock,1499.0,7931.0,17025.0,18949.0,0.0,FSH Sunset orange,bmw,2 series
2024-02-12,audi,q2,In Stock,1498.0,28761.0,18425.0,19749.0,0.0,FSH Nano grey,audi,Others
2024-02-08,audi,q2,In Stock,1598.0,8672.0,17800.0,19449.0,0.0,FSH Glacier white,audi,Others
2024-02-08,ford,Ford Fiesta Variants,In Stock,999.0,14582.0,10800.0,,0.0,Black,ford,Ford Fiesta Variants
2024-02-08,seat,arona,In Stock,999.0,10723.0,13300.0,,0.0,Red,seat,Others
2024-02-08,ford,tourneo connect,In Stock,1498.0,15887.0,16075.0,17899.0,0.0,Chrome blue,ford,tourneo connect
2024-02-08,mitsubishi,eclipse cross,In Stock,1499.0,18105.0,14350.0,,0.0,Bronze,mitsubishi,Others
2024-02-08,ford,Ford Kuga Variants,In Stock,1997.0,75987.0,11302.0,,0.0, Shadow black,ford,Ford Kuga Variants
2024-02-08,ford,Ford Transit Variants,In Stock,998.0,37000.0,10200.0,,0.0,White,ford,Ford Transit Variants
2024-02-09,vauxhall,vivaro,In Stock,1598.0,80000.0,6200.0,,0.0,White,vauxhall,vivaro
2024-02-09,ford,puma,In Stock,999.0,15303.0,14500.0,,,Blue,ford,puma
2023-12-08,ford,puma,In Stock,1000.0,,22156.42,22289.1667,4457.8333,AGATE BLACK,ford,puma
2023-08-21,ford,Ford Focus Variants,In Stock,1000.0,,24104.5,,0.0,DESERT ISLAND BLUE,ford,Ford Focus Variants
2023-12-12,ford,puma,In Stock,1000.0,,25409.96,25249.1667,5049.8333,Grey Matter,ford,puma
2024-02-09,ford,Ford Fiesta Variants,In Stock,999.0,21761.0,10500.0,,,Metallic - Agate black,ford,Ford Fiesta Variants
2024-02-09,bmw,3 series,In Stock,1998.0,76865.0,6950.0,9949.0,0.0,FSH Mineral grey,bmw,3 series
2024-02-09,mazda,mx-30,In Stock,0.0,19000.0,10000.0,,,Metallic - Ceramic,Others,mx-30
2024-02-09,ford,Ford Focus Variants,In Stock,999.0,18000.0,14000.0,,0.0,Exclusive paint - Ruby red,ford,Ford Focus Variants
2024-02-09,ford,puma,In Stock,,17250.0,17750.0,,0.0,Lucid Red,ford,puma
2024-02-12,nissan,Nissan Qashqai Variants,In Stock,1618.0,66909.0,7115.0,9449.0,0.0,FSH Magnetic red,nissan,Nissan Qashqai Variants
2024-02-09,volkswagen,golf,In Stock,1968.0,73680.0,9350.0,,0.0,Metallic - Night blue,volkswagen,golf
2024-02-09,ford,Ford Fiesta Variants,In Stock,998.0,5500.0,13679.88,,,Solid - Race red,ford,Ford Fiesta Variants
2024-02-09,bmw,5 series,In Stock,1995.0,65991.0,14500.0,16999.0,0.0,Mediterranean blue,bmw,5 series
2024-02-09,audi,a1,In Stock,999.0,27258.0,15239.33,17299.0,0.0,Metallic - Chronos grey,audi,a1
2024-02-09,ford,Ford Focus Variants,In Stock,999.0,5000.0,7000.0,,,Design paint - Iceberg blue,ford,Ford Focus Variants
2024-02-09,ford,Ford Focus Variants,In Stock,999.0,49157.0,4500.0,,,Mica - Shadow black,ford,Ford Focus Variants
2024-02-09,ford,Ford Fiesta Variants,In Stock,1388.0,93000.0,500.0,,,Metallic - Moondust silver,ford,Ford Fiesta Variants
2024-02-09,nissan,x-trail,In Stock,1598.0,79759.0,7600.0,,0.0,Metallic - Titanium olive,nissan,x-trail
2024-02-09,ford,Ford Fiesta Variants,In Stock,998.0,67390.0,2750.0,,0.0,Metallic - Deep impact blue,ford,Ford Fiesta Variants
2024-02-09,ford,Ford Fiesta Variants,In Stock,998.0,74227.0,2500.0,,0.0,Solid - Race red,ford,Ford Fiesta Variants
2024-02-10,ford,Ford Fiesta Variants,In Stock,999.0,,,,0.0,Freedom Blue,ford,Ford Fiesta Variants
2024-02-12,ford,ecosport,In Stock,998.0,58800.0,7795.64,,,Additional premium paint - Agate Black,ford,ecosport
2024-02-12,ford,Ford Focus Variants,In Stock,1798.0,60591.0,750.0,,,Metallic - Panther black,ford,Ford Focus Variants
2024-02-12,ford,s-max,In Stock,1997.0,,2000.0,,,Metallic - Hypnotic Silver,ford,s-max
2024-02-12,seat,ibiza,In Stock,1390.0,75000.0,3300.0,,,Special Solid - White,seat,ibiza
2024-02-12,vauxhall,zafira,In Stock,1686.0,69778.0,1000.0,,,Black,vauxhall,zafira
2024-02-12,toyota,yaris,In Stock,1497.0,46402.0,9400.0,,,Metallic - Nebula blue,toyota,yaris
2024-02-12,ford,Ford Kuga Variants,In Stock,1995.0,8000.0,21500.0,,,Metallic - Chrome blue,ford,Ford Kuga Variants
2024-02-12,bmw,i3,In Stock,0.0,29000.0,17273.0,,,White,bmw,Others
2024-02-12,ford,Ford Transit Variants,In Stock,2198.0,85000.0,7000.0,,,Metallic - Deep impact blue,ford,Ford Transit Variants
2024-02-12,vauxhall,astra,In Stock,1598.0,90000.0,1250.0,,,Silver,vauxhall,astra
2024-02-12,ford,Ford Transit Variants,In Stock,1995.0,19896.0,12000.0,,,Metallic - Agate black,ford,Ford Transit Variants
2024-02-12,bmw,x5,In Stock,1242.0,,4200.0,,,Solid - Alpine white,bmw,Others
2024-02-12,honda,cr-v,In Stock,2204.0,137000.0,500.0,,,Pearl - Crystal black,honda,Others
2024-02-12,ford,ecosport,In Stock,998.0,35700.0,4000.0,,,Metallic - Kinetic blue,ford,ecosport
2024-02-12,ford,Ford Transit Variants,In Stock,1560.0,39500.0,8000.0,,,Blue,ford,Ford Transit Variants
